epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.58,4.14805,7.602,0.98007,0.41806,0.0334,0.00689,0.00355,1.27414,4.31294,1.20685,0.00332847,0.00332847,0.00332847
2,785.949,9.46716,7.48538,1.16688,0.1169,0.01301,0.00198,0.00093,8.53821,inf,1.54445,0.00659585,0.00659585,0.00659585
3,1238.18,22.9844,9.98782,1.65816,0.1442,0.00923,0.00122,0.00056,20.6048,91.628,2.71883,0.00979723,0.00979723,0.00979723
4,1614.01,30.0824,11.9946,2.13863,0.00076,0.03012,0.00087,0.0004,8.40329,4.78763,2.26201,0.009703,0.009703,0.009703
5,1988.64,27.515,10.2515,2.16798,0.16864,0.01152,0.00328,0.00165,15.5438,4.25225,1.80082,0.009604,0.009604,0.009604
6,2364.32,21.4037,8.17501,1.99341,0.14645,0.01779,0.00531,0.00254,10.4276,3.76691,1.7298,0.009505,0.009505,0.009505
7,2739.56,19.1168,6.24832,1.89845,0.27468,0.01864,0.00736,0.00359,7.50148,3.59916,5.44713,0.009406,0.009406,0.009406
8,3114.46,14.2563,4.9625,1.65429,0.2572,0.02078,0.00922,0.00456,8.07364,3.38793,1.49301,0.009307,0.009307,0.009307
9,3489.33,12.0835,4.33878,1.54497,0.36421,0.02164,0.01097,0.00673,4.11909,3.44606,1.56197,0.009208,0.009208,0.009208
10,3865.11,9.72007,3.89902,1.50156,0.33372,0.04169,0.01578,0.00893,3.69032,3.05202,1.41704,0.009109,0.009109,0.009109
11,4240.55,10.303,3.67408,1.59601,0.34526,0.03631,0.01774,0.01049,3.70089,2.96575,1.43101,0.00901,0.00901,0.00901
12,4615.25,9.04216,3.52105,1.44431,0.33455,0.03171,0.01957,0.01105,5.08139,2.934,1.33775,0.008911,0.008911,0.008911
13,4991.55,7.79982,3.36587,1.40451,0.34831,0.05409,0.02629,0.01536,3.10415,2.81728,1.53756,0.008812,0.008812,0.008812
14,5366.69,8.09296,3.32999,1.34837,0.333,0.05361,0.02689,0.01555,3.65614,2.81887,1.26886,0.008713,0.008713,0.008713
15,5741.91,7.27915,3.2234,1.35206,0.44067,0.04226,0.03015,0.01724,3.18448,2.82446,1.22436,0.008614,0.008614,0.008614
16,6118.07,7.07668,3.10819,1.26884,0.41421,0.04243,0.03139,0.0175,2.9956,2.77767,1.1922,0.008515,0.008515,0.008515
17,6494.49,5.74892,2.96949,1.2389,0.40232,0.06966,0.04151,0.02357,3.39514,2.59822,1.15757,0.008416,0.008416,0.008416
18,6870.97,5.63132,2.9233,1.25128,0.43182,0.07019,0.04309,0.02493,2.1331,2.57173,1.21952,0.008317,0.008317,0.008317
19,7248.75,5.87467,2.89401,1.2227,0.42762,0.07337,0.04599,0.02807,2.55264,2.56077,1.14866,0.008218,0.008218,0.008218
20,7624.19,5.33451,2.80724,1.20439,0.47055,0.07603,0.05199,0.03191,1.67983,2.39219,1.13107,0.008119,0.008119,0.008119
21,8000.02,4.85778,2.72496,1.15948,0.44125,0.09443,0.05679,0.03246,1.41237,2.36743,1.13267,0.00802,0.00802,0.00802
22,8376.53,4.37934,2.69413,1.15631,0.43362,0.08442,0.06028,0.03765,1.72082,2.3405,1.11089,0.007921,0.007921,0.007921
23,8753.29,4.39832,2.64746,1.14556,0.45061,0.09375,0.06277,0.039,1.41538,2.32608,1.13048,0.007822,0.007822,0.007822
24,9129.9,4.5348,2.61682,1.13457,0.46337,0.10208,0.07141,0.04546,1.39906,2.2272,1.11859,0.007723,0.007723,0.007723
25,9506.94,4.15948,2.56729,1.12942,0.43908,0.09522,0.07038,0.04485,1.16531,2.2106,1.06371,0.007624,0.007624,0.007624
26,9885.35,3.69125,2.54879,1.10598,0.48675,0.10233,0.08174,0.05207,1.53818,2.14191,1.05837,0.007525,0.007525,0.007525
27,10262.7,4.26524,2.51801,1.11902,0.47728,0.1018,0.07924,0.04949,1.07899,2.15197,1.06189,0.007426,0.007426,0.007426
28,10639.9,3.69092,2.46508,1.10456,0.45514,0.11042,0.08319,0.05274,1.30999,2.13248,1.05781,0.007327,0.007327,0.007327
