epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.392,0.72423,0.47297,0.82834,0.7746,0.57311,0.66224,0.53299,0.74439,0.58289,0.84387,1.86394e-05,1.86394e-05,1.86394e-05
2,767.58,0.71967,0.46608,0.82514,0.73363,0.59118,0.6566,0.5278,0.7453,0.58653,0.84348,3.54594e-05,3.54594e-05,3.54594e-05
3,1144.51,0.71384,0.46972,0.8261,0.74274,0.59161,0.66584,0.53473,0.74701,0.58685,0.84406,5.04314e-05,5.04314e-05,5.04314e-05
4,1520.92,0.71578,0.46231,0.82571,0.77383,0.58493,0.66671,0.53788,0.74694,0.58434,0.84354,4.7684e-05,4.7684e-05,4.7684e-05
5,1896.25,0.70626,0.45618,0.82671,0.77411,0.58251,0.66674,0.53721,0.74745,0.58362,0.84325,4.4912e-05,4.4912e-05,4.4912e-05
6,2272.16,0.71079,0.4529,0.82511,0.78419,0.5801,0.65811,0.52952,0.74555,0.58543,0.843,4.214e-05,4.214e-05,4.214e-05
7,2647.59,0.71189,0.46044,0.8257,0.78643,0.57227,0.65681,0.52754,0.74475,0.59419,0.8423,3.9368e-05,3.9368e-05,3.9368e-05
8,3023.64,0.7107,0.44838,0.82501,0.78271,0.57231,0.66436,0.5342,0.74565,0.59052,0.84268,3.6596e-05,3.6596e-05,3.6596e-05
9,3400.36,0.71429,0.46082,0.82539,0.79617,0.56681,0.66195,0.5371,0.74346,0.59134,0.84246,3.3824e-05,3.3824e-05,3.3824e-05
10,3776.23,0.70327,0.45076,0.82442,0.79773,0.56067,0.66295,0.53568,0.7449,0.59325,0.84342,3.1052e-05,3.1052e-05,3.1052e-05
11,4152.04,0.70189,0.4052,0.82454,0.77684,0.56533,0.65812,0.52907,0.74662,0.59556,0.84302,2.828e-05,2.828e-05,2.828e-05
12,4526.33,0.69442,0.39828,0.82342,0.77271,0.57089,0.66232,0.53261,0.74519,0.59597,0.84203,2.5508e-05,2.5508e-05,2.5508e-05
13,4900.56,0.69138,0.39678,0.82311,0.7464,0.58907,0.65667,0.52988,0.7454,0.59549,0.84169,2.2736e-05,2.2736e-05,2.2736e-05
14,5274.64,0.68765,0.39187,0.82271,0.76601,0.59372,0.66548,0.53702,0.74434,0.59093,0.8414,1.9964e-05,1.9964e-05,1.9964e-05
15,5648.75,0.68898,0.39345,0.82329,0.74782,0.59524,0.66382,0.53468,0.7451,0.59258,0.84126,1.7192e-05,1.7192e-05,1.7192e-05
16,6022.18,0.69268,0.39496,0.82322,0.78585,0.57332,0.66442,0.53777,0.74484,0.59319,0.84095,1.442e-05,1.442e-05,1.442e-05
17,6395.89,0.69201,0.3971,0.82327,0.79418,0.56496,0.65823,0.53034,0.74433,0.59085,0.84095,1.1648e-05,1.1648e-05,1.1648e-05
18,6770.68,0.68682,0.38944,0.82206,0.78824,0.57129,0.65646,0.52905,0.74402,0.59347,0.84102,8.876e-06,8.876e-06,8.876e-06
19,7144.54,0.6874,0.39551,0.8216,0.78131,0.57354,0.66325,0.53504,0.74397,0.5941,0.84084,6.104e-06,6.104e-06,6.104e-06
20,7518.51,0.68988,0.38978,0.82031,0.78778,0.56818,0.66409,0.53517,0.74468,0.59346,0.84116,3.332e-06,3.332e-06,3.332e-06
